0,1.1920928955078125e-06
200,0.005374908447265625
400,0.02293109893798828
600,0.05710315704345703
800,0.10039186477661133
1000,0.16042685508728027
1200,0.2200002670288086
1400,0.32141995429992676
1600,0.3924379348754883
1800,0.5050961971282959
2000,0.6031069755554199
2200,0.7299878597259521
2400,0.8762180805206299
2600,1.0279271602630615
2800,1.220081090927124
3000,1.365023136138916
3200,1.586745023727417
3400,1.7545232772827148
3600,1.967932939529419
3800,2.2274441719055176
4000,2.402637004852295
4200,2.693796157836914
4400,2.9456560611724854
4600,3.197645902633667
4800,3.6407299041748047
5000,3.818430185317993
5200,4.300252199172974
5400,4.519074201583862
5600,4.796377182006836
5800,5.195050001144409
6000,5.407066822052002
6200,5.854752063751221
6400,6.204998016357422
6600,6.585144758224487
6800,7.129708766937256
7000,7.471122980117798
7200,8.0591881275177
7400,8.303792715072632
7600,8.749265193939209
7800,9.297471046447754
8000,9.6860990524292
8200,10.301884889602661
8400,10.879119157791138
8600,11.12046217918396
8800,12.023969173431396
9000,12.291803121566772
9200,13.058995008468628
9400,13.71852707862854
9600,13.94343900680542
9800,14.75560188293457
